election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Kamala D. Harris,DEM,Machine,37,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Kamala D. Harris,DEM,Hand ,1,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Kamala D. Harris,DEM,Total,38,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Donald J. Trump,REP,Machine,332,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Donald J. Trump,REP,Hand,7,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Donald J. Trump,REP,Total,339,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Chase Oliver,LIB,Machine,1,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Chase Oliver,LIB,Hand,0,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Chase Oliver,LIB,Total,1,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Jill Stein,GRN,Machine,2,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Jill Stein,GRN,Hand,0,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,Jill Stein,GRN,Total,2,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,SCATTERED,SCATTERED,Machine,1,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,SCATTERED,SCATTERED,Hand,0,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Athens Twp,CRAWFORD COUNTY,US President,SCATTERED,SCATTERED,Total,1,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Beaver Twp,CRAWFORD COUNTY,US President,Kamala D. Harris,DEM,Machine,81,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
2024 GENERAL,PENNSYLVANIA,CRAWFORD COUNTY,Beaver Twp,CRAWFORD COUNTY,US President,Kamala D. Harris,DEM,Hand ,3,,OFFICIAL,https://www.crawfordcountypa.net/VoterServices/Election%20Results/2024%20General%20Presidential.pdf,2024 General Presidential,12/24/2024
