election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,ELECTION DAY,100,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,MAIL-IN,61,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,ELECTION DAY,847,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,MAIL-IN,164,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,ELECTION DAY,2,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,ELECTION DAY,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS
