election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,ELECTION DAY,57,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,MAIL-IN,18,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,TOTAL,75,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,ELECTION DAY,124,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,MAIL-IN,8,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,TOTAL,132,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,ELECTION DAY,1,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
2024 GENERAL,PENNSYLVANIA,HUNTINGDON COUNTY,ALEXANDRIA,HUNTINGDON COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://www.huntingdoncounty.net/getmedia/48061cbc-99c0-44ed-bf42-1aa0254c9cc8/Final-Count-Precinct-Summary-(11-8-24).pdf,Final-Count-Precinct-Summary-(11-8-24).pdf,11/08/2024     12:56 PM 1  of 116
