election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,ELECTION DAY,56,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,PROVISIONAL,1,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,MAIL-IN,12,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,TOTAL,69,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,ELECTION DAY,307,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,MAIL-IN,47,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,TOTAL,355,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,ELECTION DAY,2,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
2024 GENERAL,PENNSYLVANIA,JUNIATA COUNTY,BEALE TOWNSHIP,JUNIATA COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://www.juniataco.org/wp-content/uploads/2024-General-Election-Official-Precinct-Results.pdf,2024-General-Election-Official-Precinct-Results.pdf,11/21/2024    10:39 AM
