election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,ELECTION DAY,111,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,MAIL-IN,40,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,TOTAL,151,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,ELECTION DAY,94,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,MAIL-IN,26,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,TOTAL,120,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,ELECTION DAY,1,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,TOTAL,2,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,ELECTION DAY,1,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,MAIL-IN,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,TOTAL,1,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,ELECTION DAY,114,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,MAIL-IN,37,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,TOTAL,151,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,ELECTION DAY,79,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,MAIL-IN,28,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,TOTAL,107,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,ELECTION DAY,6,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,MAIL-IN,0,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
2024 GENERAL,PENNSYLVANIA,LAWRENCE COUNTY,New Castle 1-1,LAWRENCE COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,TOTAL,6,0,OFFICIAL RESULTS,https://lawrencecountypa.gov/getmedia/34376319-2fff-495d-909b-a554502af399/2024-General-Election-Precinct-Official-Results.pdf,2024-General-Election-Precinct-Official-Results.pdf,11/22/2024    10:38 AM
