election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,ELECTION DAY,160,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,PROVISIONAL,4,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,MAIL-IN,60,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,TOTAL,224,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,ELECTION DAY,231,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,PROVISIONAL,4,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,MAIL-IN,40,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,TOTAL,275,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,ELECTION DAY,1,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,MAIL-IN,0,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,TOTAL,1,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
2024 GENERAL,PENNSYLVANIA,LEBANON COUNTY,01E Lebanon 1st Ward East,LEBANON COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,ELECTION DAY,0,0,UNOFFICIAL RESULTS,https://www.lebanoncountypa.gov/getmedia/24db601e-d2fc-4e2c-863c-e55951ae51ed/2024-Presidential-Precinct-Summary-Report_Final.pdf,2024-Presidential-Precinct-Summary-Report_Final.pdf,11/15/2024  4:38 PM
