election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Kamala D. Harris,DEM,TOTAL,90,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Kamala D. Harris,DEM,ED,63,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Kamala D. Harris,DEM,MI,26,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Kamala D. Harris,DEM,PR,1,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Donald J. Trump,REP,TOTAL,506,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Donald J. Trump,REP,ED,427,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Donald J. Trump,REP,MI,77,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Donald J. Trump,REP,PR,2,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Chase Oliver,LIB,TOTAL,3,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Chase Oliver,LIB,ED,3,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Chase Oliver,LIB,MI,0,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Chase Oliver,LIB,PR,0,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Jill Stein,GRN,TOTAL,1,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Jill Stein,GRN,ED,1,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Jill Stein,GRN,MI,0,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,Jill Stein,GRN,PR,0,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,WRITE-IN,WRITE-IN,TOTAL,2,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,WRITE-IN,WRITE-IN,ED,1,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,WRITE-IN,WRITE-IN,MI,1,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US President,WRITE-IN,WRITE-IN,PR,0,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US Senator,"Robert P. Casey, Jr.",DEM,TOTAL,86,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US Senator,"Robert P. Casey, Jr.",DEM,ED,59,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US Senator,"Robert P. Casey, Jr.",DEM,MI,27,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US Senator,"Robert P. Casey, Jr.",DEM,PR,0,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
2024 GENERAL,PENNSYLVANIA,LYCOMING COUNTY,Anthony Township,LYCOMING COUNTY,US Senator,Dave McCormick,REP,TOTAL,506,0,OFFICIAL RESULTS,https://www.lyco.org/Portals/1/VoterServices/Documents/PreviousResults/2024GEPrecinct.pdf,2024GEPrecinct.pdf,11-14-24 4:52 PM
