election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,ELECTION DAY,43,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,MAIL-IN,18,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,TOTAL,61,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,ELECTION DAY,257,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,MAIL-IN,42,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,TOTAL,300,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,ELECTION DAY,2,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,TOTAL,3,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,ELECTION DAY,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,MAIL-IN,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,TOTAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,ELECTION DAY,44,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,MAIL-IN,18,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,TOTAL,62,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,ELECTION DAY,256,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,MAIL-IN,41,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
