election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,ELECTION DAY,57,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,MAIL-IN,49,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,TOTAL,106,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,ELECTION DAY,456,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,MAIL-IN,55,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,TOTAL,512,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,ELECTION DAY,1,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,TOTAL,2,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
2024 GENERAL,PENNSYLVANIA,MIFFLIN COUNTY,ARMAGH TOWNSHIP-EAST,MIFFLIN COUNTY,PRESIDENTIAL ELECTORS,STEIN,GRN,ELECTION DAY,1,0,OFFICIAL RESULTS,https://www.mifflincountypa.gov/getmedia/d95ead2f-71ff-48df-9e52-5424f4945c6d/2024-General-Election-Final-Precinct-Results,2024-General-Election-Final-Precinct-Results.pdf,11/25/2024 09:39AM
