election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,ELECTION DAY,118,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,MAIL-IN,39,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,TOTAL,157,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,ELECTION DAY,501,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,PROVISIONAL,5,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,MAIL-IN,75,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,TOTAL,581,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,ELECTION DAY,4,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
2024 GENERAL,PENNSYLVANIA,MONTOUR COUNTY,ANTHONY TOWNSHIP,MONTOUR COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.montourcounty.gov/getmedia/b7d82896-bb93-4d1a-9509-664a1c1a898f/5-November-2024-Official-Precinct-Summary.pdf,5-November-2024-Official-Precinct-Summary.pdf,11/13/2024    10:00 AM
