election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,ELECTION DAY,18,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,MAIL-IN,13,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,TOTAL,31,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,ELECTION DAY,111,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,MAIL-IN,24,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,TOTAL,135,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,ELECTION DAY,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,MAIL-IN,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,TOTAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,STEIN,GRN,ELECTION DAY,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,STEIN,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,STEIN,GRN,MAIL-IN,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,STEIN,GRN,TOTAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,ELECTION DAY,19,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
