election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,ELECTION DAY,46,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,MAIL-IN,23,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,HARRIS,DEM,TOTAL,69,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,ELECTION DAY,352,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,MAIL-IN,37,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,TRUMP,REP,TOTAL,389,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,ELECTION DAY,3,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
2024 GENERAL,PENNSYLVANIA,SNYDER COUNTY,ADAMS TOWNSHIP,SNYDER COUNTY,PRESIDENTIAL ELECTORS,OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.snydercounty.org/wp-content/uploads/2024/11/Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,Official-Precinct-Summary-With-Group-Detail-11.15.2024.pdf,11/22/2024 12:07 PM
