election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,ELECTION DAY,104,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,MAIL-IN,78,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,TOTAL,182,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,ELECTION DAY,491,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,PROVISIONAL,3,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,MAIL-IN,97,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,TOTAL,591,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,ELECTION DAY,1,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
2024 GENERAL,PENNSYLVANIA,WAYNE COUNTY,BERLIN TOWNSHIP #1,WAYNE COUNTY,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,TOTAL,2,0,OFFICIAL RESULTS,https://waynecountypa.gov/DocumentCenter/View/7191/Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409pdf,Statement_of_Votes_Cast_by_Precincts_for_NOVEMBER5_2024GENERALELECTION202409_202411141419495590.pdf,11/14/2024 02:14 PM
